company,adress,lat,lon
cardtronics,"21-22 Embankment Place,LONDON,UK WC2N 6NN",51.50743,-0.1231133
cardtronics,"The Strand,LONDON,UK WC2N 5HS",51.50794,-0.1246712
cardtronics,"1 Tavistock Court,COVENT GARDEN,UK WC2E 8BD",51.51212,-0.1237862
cardtronics,"Unit D, Ground Floor,LONDON,UK SE1 9",51.50773,-0.1115135
cardtronics,"Golden Cross House,London,UK 0WC2R",51.50829,-0.1266925
cardtronics,"62 Cornwell Road,LONDON,UK SE1 9PU",51.50635,-0.111679
cardtronics,"45 York Road,LONDON,UK SE1 7NJ",51.50324,-0.1151859
cardtronics,"27 York Road,LONDON,UK SE1 7NJ",51.50324,-0.1151859
cardtronics,"Westminster Bridge Road,London,UK SE1 7PB",51.50277,-0.1192323
cardtronics,"Westminster Bridge Road,London,UK SE1 7PB",51.50277,-0.1192323
cardtronics,"244 - 246 Westminster Bridge Road,WATERLOO,UK SE1 7PD",51.50277,-0.1192323
cardtronics,"Athlone Road,ROSCOMMON,UK .",51.5139,-0.126332
cardtronics,"Dublin Road,MEATH,UK .",51.5139,-0.126332
cardtronics,"Drury Lane,LONDON,UK WC2B 5NT",51.51551,-0.1221404
cardtronics,"3H Belvedere Road,LONDON,UK SE1 7GQ",51.50219,-0.1175924
cardtronics,"Opposite Main Entrance Waterloo Station,LONDON,UK SE1 7LY",51.5031,-0.1132439
cardtronics,"Station Approach,LONDON,UK SE1 8SW",51.5031,-0.1132439
cardtronics,"Station Approach,LONDON,UK SE1 8SW",51.5031,-0.1132439
cardtronics,"14 Leicester Square,LONDON,UK 0WC2H",51.51095,-0.1298083
cardtronics,"20 Cockspur Street,LONDON,UK SW1Y 5BL",51.50747,-0.1305102
cardtronics,"10 Drury Lane,London,UK WC2B 5RE",51.51575,-0.1241199
cardtronics,"244 - 246 Westminster Bridge Road,WATERLOO,UK SE1 7",51.50104,-0.117761
cardtronics,"252 High Holborn,LONDON,UK WC1V 7EN",51.51748,-0.1178969
cardtronics,"65 Fleet Street,LONDON,UK EC4Y 1HT",51.51397,-0.107554
cardtronics,"228 Shaftesbury Avenue,LONDON,UK WC2H 8EG",51.51672,-0.1258508
cardtronics,"200 Westminster Bridge Road,LONDON,UK SE1 7UT",51.50027,-0.1160957
cardtronics,"Unit 33 The Trocadero Centre,London,UK W1D 7DH",51.5109,-0.132996
cardtronics,"36-38 New Oxford Street,LONDON,UK WC1A 1EP",51.51726,-0.1257156
cardtronics,"52 Wardour Street,SOHO,UK W1D 6QU",51.51237,-0.1329327
cardtronics,"o/s Doggetts Coat & Badge Ph,LONDON,UK SE1 8NL",51.50493,-0.104111
cardtronics,"57 Red Lion Street,LONDON,UK WC1R 4PD",51.51925,-0.1172501
cardtronics,"Queen Victoria Street,London,UK EC4V 4DY",51.51131,-0.1026358
cardtronics,"Queen Victoria Street,London,UK EC4V 4DY",51.51131,-0.1026358
cardtronics,"Procession House,The City,UK 0EC4M",51.51402,-0.104024
cardtronics,"Ludgate Hill,London,UK EC4M 7JH",51.51392,-0.1037122
cardtronics,"1 Ludgate Circus,London,UK EC4M 7LW",51.51392,-0.1037122
cardtronics,"3 Sumner Street,London,UK SE1 9RE",51.50633,-0.1009442
cardtronics,"202 Union Street,LONDON,UK SE1 0",51.50383,-0.1019775
cardtronics,"Ludgate Hill,London,UK EC4M 7RA",51.51617,-0.1035695
cardtronics,"Atlantic House,London,UK EC1A 2FG",51.51778,-0.105707
cardtronics,"Unit B,LONDON,UK SE1 0",51.50016,-0.1049648
cardtronics,"400 Oxford Street,LONDON,UK W1A 1AB",51.51708,-0.1342257
cardtronics,"400 Oxford Street,LONDON,UK W1A 1AB",51.51708,-0.1342257
cardtronics,"400 Oxford Street,LONDON,UK W1A 1AB",51.51708,-0.1342257
cardtronics,"203-206 Union Street,LONDON,UK SE1 0",51.50359,-0.1004278
cardtronics,"114 Newgate Street,LONDON,UK EC1A 7AE",51.51607,-0.1012054
cardtronics,"39-43 Grays Inn Road,London,UK WC1X 8PR",51.52172,-0.1138116
cardtronics,"Colegrave House,LONDON,UK W1T 3NL",51.51638,-0.1364235
cardtronics,"19-21 Store Street,London,UK WC1E 7DB",51.52003,-0.1306428
cardtronics,"34 - 49 Grays Inn Road,London,UK 0WC1X",51.52202,-0.1139195
cardtronics,"Jct Farringdon Road and Grenville Road,LONDON,UK EC1M 3JF",51.51992,-0.1061059
cardtronics,"19 - 21 Store Street,London,UK 0WC1E",51.51974,-0.1321463
cardtronics,"102 Petty France,LONDON,UK SW1H 9AJ",51.49981,-0.1349799
cardtronics,"72-78 Lamb's Conduit Street,LONDON,UK WC1N 3LP",51.5226,-0.1187146
cardtronics,"27-31 Charlotte Street,LONDON,UK W1T 1",51.51868,-0.1354055
cardtronics,"16 London Road,LONDON,UK SE1 6JZ",51.49786,-0.1041557
cardtronics,"5 Cheapside,London,UK EC2V 6AA",51.51478,-0.09755799
cardtronics,"86-88 Turnmill Street,LONDON,UK EC1M 5QU",51.52074,-0.1045072
cardtronics,"ITN BUILDING - 192/200,LONDON,UK WC1X 8HB",51.52367,-0.114801
cardtronics,"136 Southwark Bridge Road,London,UK SE1 0DG",51.49984,-0.1000129
cardtronics,"Ground Floor Right,CHEAPSIDE,UK EC4M 9AF",51.51357,-0.09595879
cardtronics,"First Floor (Opposite Nandos) Right,CHEAPSIDE,UK EC4M 9AF",51.51357,-0.09595879
cardtronics,"Ground Floor Internal ATM,CHEAPSIDE,UK EC4M 9AF",51.51357,-0.09595879
cardtronics,"First Floor (opposite Nandos) Left,CHEAPSIDE,UK EC4M 9AF",51.51357,-0.09595879
cardtronics,"Ground Floor Left,CHEAPSIDE,UK EC4M 9AF",51.51357,-0.09595879
cardtronics,"30 BOROUGH ROAD,LONDON,UK SE1 0AJ",51.4992,-0.1003861
