name,lat,lon

A10 North of Tyssen Road,51.5596,-0.07424
A10 North of Evering Rd,51.5583,-0.06936
A12 Cathall Rd 3775A,51.5619,0.00185
A13 Burdett Rd,51.5119,-0.02849
A102 Blackwall Lane,51.4939,0.00646
A10 Kingsland Rd Stamford St,51.5444,-0.07616
A102 Woolwich Rd (S),51.4798,0.02157
A10 Grt Cambridge Rd Devonshire H Ln,51.6067,-0.08556
A102 Tunnel House N,51.4969,0.00193
A10 South of Laburnum St,51.5349,-0.07688
A10 High Rd Forster Rd,51.5919,-0.07001
A102 Pear Island,51.4961,0.00227
A12 Eastern Avenue A125 North St,51.5865,0.17314
A10 Stamford Hill Lampard Grove,51.5669,-0.07286
A12 Preston Drive,51.5774,0.03599
A21 Bromley Rd Penerley Rd,51.4409,-0.02073
A205 Woolwich Common Rd Ngale pl,51.4823,0.06202
A10 North of Brooke Road,51.5606,-0.07056
Millennium Wy Edmund Halley Wy,51.4978,0.00289
A3 East Of West Hill,51.4571,-0.19741
Pear Island OHV,51.4959,0.00319
PARK MEAD,51.451,0.10833
Notting Hill Gate Palace Grdns Ter,51.5094,-0.19438
North End Rd Talgarth Rd,51.4907,-0.20696
Park Lane Barclay Rd,51.3716,-0.09636
A13 A102 EIDR,51.5114,-0.00758
A3 Clapham Road B221 Bedford Road,51.4655,-0.12967
Old Kent Rd Preston Cls,51.4925,-0.08365
New Kings Rd Wanworth Brg Rd,51.4765,-0.19286
Old Brompton Rd Finboro Rd,51.4886,-0.19275
East India Dock Rd Upper Nth St,51.5109,-0.02134
Park Lane   Upper Grosvenor St,51.5101,-0.1572
Nine Elms Ln Wandsworth Rd,51.4848,-0.12858
Pier Road Woolwich Ferry,51.4989,0.06368
A23 Streatham H Rd Greyhound Ln,51.422,-0.12926
Purley Way Croydon Road,51.368,-0.11885
Parkhurst Rd by Holloway Rd,51.5575,-0.12007
Queens Road Woods Road,51.474,-0.06234
Prince Albert Rd Parkway,51.5363,-0.14681
A3 Kingston Rd Roehampton Ln,51.4445,-0.23427
Scrubs Lane North Pole Rd,51.5189,-0.22793
Edgware Rd Harrow Rd,51.5198,-0.16961
Purley Way Waddon Road,51.3708,-0.11724
Regent St Conduit St,51.5132,-0.14091
A40  Near Mansfield Rd,51.5262,-0.27502
Seven Sisters Rd Woodberry Grove,51.5724,-0.09078
Shaftesbury Ave   Macclesfield St,51.5121,-0.13158
Stamford St Broadwall,51.5069,-0.10845
Tottenham High Road   Seven Sisters Rd,51.5831,-0.07226
Tooting High St Garratt Terrace,51.4276,-0.16862
Trinity Road - Dorlcote Road,51.4503,-0.17405
Tweedy Rd N of Widmore Rd,51.4066,0.01867
Twr Brdge Rd Grange Rd,51.4968,-0.08187
University St Gower St,51.5239,-0.1341
Trinity Rd Bellevue Rd,51.4441,-0.16815
Tweedy Rd E of Sherman Rd,51.4079,0.01713
Tunnel House (Fixed),51.4967,0.00205
Upper Richmond Rd Colinette Rd,51.4634,-0.22988
Upper Richmond Rd Putney Hill,51.4606,-0.21706
Upper St Highbury Corner,51.5456,-0.1033
Upper St Theberton St,51.538,-0.10247
Upper St by Essex Rd,51.5355,-0.10381
Upper Richmond Rd Ravenna Rd,51.4615,-0.22031
Upper Tooting Rd Ansell Rd,51.4327,-0.16385
Upper Richmond Rd Oxford Rd,51.4599,-0.21293
Upper Rmond Rd Clifford Ave,51.4642,-0.27609
Uxbridge Rd Askew Rd,51.5067,-0.24443
A12 East Cross Route,51.5482,-0.02874
Victoria St Bressenden Place,51.4966,-0.14156
Wennington Viaduct E,51.5005,0.22112
A12 Bromley-by-Bow,51.5256,-0.01169
A13 A406 Beckton Rb,51.5258,0.07349
Waterworks E B On-Slip,51.5956,0.01903
Westminster Bridge Rd Waterloo Rd,51.4986,-0.10545
Whitechapel High St Mansell St,51.5144,-0.07411
A504 Est End Rd A406 Nth Circ Rd,51.5939,-0.18521
A23 Brixton Rd Vassell Rd,51.4765,-0.11232
A21 South of Ladywell Rd,51.4562,-0.01459
A4088 Forty Av Bridge Rd,51.5655,-0.2773
Woodford Ave   Clayhall Ave,51.5901,0.04919
Woolwich Rd Warspite Rd,51.4925,0.0454
Gt Eastern St Curtain Rd,51.5244,-0.08028
Farringdon Rd opp Ray St,51.5232,-0.10792
Farringdon Rd Cowcross St,51.52,-0.10586
A5 Edgware Rd Nutford Pl,51.5165,-0.16495
A406 Brentfield Rd,51.5519,-0.26117
A4 west of Sipson Road,51.4814,-0.451
A406 Hale End Rd E,51.5999,-0.00026
The Causeway   Faggs Rd,51.4631,-0.41537
Seven Sisters Rd Amhurst Pk,51.5736,-0.08793
Stanstead Rd Blythe Hill Lane,51.4422,-0.03345
Silvertown Way,51.5153,0.00814
THE PARKWAY   UXBRIDGE ROAD,51.5168,-0.40116
St Georges Rd Hayles St,51.4958,-0.10358
Stockwell Rd Stockwell Ln,51.4697,-0.12007
The Broadway Windsor Rd,51.514,-0.30067
Tadema Rd Sth Kings Rd,51.4811,-0.18307
Thornton Rd Broughton Rd,51.3916,-0.11798
The Highway Vaughan Way,51.509,-0.06754
Target Roundabout Church St,51.5425,-0.37841
Strand Lancaster Place,51.5114,-0.11924
A205 Academy Rd Shooters Hill,51.4712,0.05519
Woodford Avenue - Beehive Lane,51.5814,0.05825
Wood Lane South Africa Road,51.5129,-0.22523
Whitechapel Rd White Church Ln,51.5163,-0.06894
Wickham Rd Monks Orchard Rd,51.3773,-0.02857
A12 Eastern Ave Gants Hill R-About,51.5763,0.06674
Swiss Cottage Finchley Rd,51.544,-0.17502
Shaftesbury Ave High Holborn,51.5157,-0.12612
Oxford St Davies St,51.5144,-0.1494
A2 New Cross Rd Avonley Rd,51.4778,-0.05185
A205 Upper RMond Rd Sheen Lane,51.4647,-0.26725
A21 Bromley Rd Newquay Rd,51.4371,-0.0185
A1 Archway Rd Bakers Ln,51.5818,-0.15645
A10 North of Holywell Ln,51.5239,-0.07727
A12 Dyers Hl W 3793A,51.5632,0.00348
